id,name,transliterated_name,viaf_id,wikidata_id
2,Александр Скидан,Aleksandr  Skidan,261306934,Q4421850
3,Джон Хай,Dzhon  Khaĭ,277861108,Q4494690
4,Вадим Месяц,Vadim  Mesi͡at͡s,4508283,Q3553159
5,Леонард Шварц,Leonard  Shvart͡s,,
6,Эд Фостер,Ėd  Foster,305036807,
7,Елена Афонина,Elena  Afonina,,
8,Паша Туланов,Pasha  Tulanov,,
10,Катя Филиппович,Kati͡a  Filippovich,,
11,Сергей Стратановский,Sergeĭ  Stratanovskiĭ,2701844,Q4443407
12,Нина Патова,Nina  Patova,,
13,Лора Кутузова,Lora  Kutuzova,,
14,Иосиф Скарбовский,Iosif  Skarbovskiĭ,,
15,Татьяна Тукациер,Tatʹi͡ana  Tukat͡sier,,
16,Юрий Пейсахович,I͡Uriĭ  Peĭsakhovich,,
17,Яна Чернявская,I͡Ana  Cherni͡avskai͡a,,
18,Екатерина Асмус,Ekaterina  Asmus,'4801150647113410936832',Q21088550
19,Михаил Веллер,Mikhail  Veller,66616780,Q2993820
21,Дарья Вишневская,Darʹi͡a  Vishnevskai͡a,,
22,Борис Краснов,Boris  Krasnov,14364094,Q4238326
23,Александр Курапец,Aleksandr  Kurapet͡s,,
24,Евгений Попов,Evgeniĭ  Popov,27573951,Q279674
25,Глеб Морев,Hleb  Morev,34532349,Q4302601
26,Андрей Аствацатуров,Andreĭ  Astvat͡saturov,41492002,Q4071634
29,Фуад Ларуи,Fuad  Larui,,
31,Ася Десницкая,Asi͡a  Desnit͡skai͡a,,
32,Александра Литвина,Aleksandra  Litvina,'45144897958150201344',
33,Михаил Александр,Mikhail  Aleksandr,'34167759701713571840',
34,Юлия Яковлева,I͡Ulii͡a  I͡Akovleva,34213385,
35,Наталия Соколовская,Natalii͡a  Sokolovskai͡a,'2643150647103910838272',Q4427374
36,Дмитрий Ермолец,Dmitriĭ  Ermolet͡s,,
37,Владислав Виноградов,Vladislav  Vinogradov,85651146,Q95920193
38,Виктор Кривулин,Viktor  Krivulin,84221354,Q4240917
41,Александр Ласкин,Aleksandr  Laskin,29831956,
43,Леля Каучук,Leli͡a  Kauchuk,,
44,Евгений Петрушенко,Evgeniĭ  Petrushenko,,
45,Юлиан Фрумкин-Рыбаков,I͡Ulian  Frumkin-Rybakov,'82144648397233176576',
47,Павел Байков,Pavel  Baĭkov,,
48,Михаил Мельников-Серебряков,Mikhail  Melʹnikov-Serebri͡akov,195206398,
49,Пётр Казарновский,Pёtr  Kazarnovskiĭ,210807579,Q24010272
50,Мария Александровна Черняк,Marii͡a Aleksandrovna Cherni͡ak,173002299,Q65149766
51,Светлана Друговейко-Должанская,Svetlana  Drugoveĭko-Dolzhanskai͡a,311325943,Q123560537
52,Дмитрий Теткин,Dmitriĭ  Tetkin,,
53,Виктор Калугин,Viktor  Kalugin,81881466,
54,Николас Витцен,Nikolas  Vitt͡sen,,
55,Александр Кушнер,Aleksandr  Kushner,1559145857047622921321,Q4250259
56,Сергей Ларенков,Sergeĭ  Larenkov,309639628,Q16670067
57,Елена Мухина,Elena  Mukhina,235726877,Q261698
59,Ирина Мельникова,Irina  Melʹnikova,23957537,
61,Катрин Колом,Katrin  Kolom,,
62,Алексей Лушников,Alekseĭ  Lushnikov,155191822,Q1997159
65,Пётр Пигаревский,Pёtr  Pigarevskiĭ,,
67,Виктор Конецкий,Viktor  Konet͡skiĭ,37086891,Q4230765
68,Татьяна Акулова,Tatʹi͡ana  Akulova,16651264,
69,Юрий Рытхэу,I͡Uriĭ  Rytkhėu,110717918,Q44940
70,Андрей Битов,Andreĭ  Bitov,68959833,Q502041
71,Дмитрий Каралис,Dmitriĭ  Karalis,'317149294237680533504',Q4213956
72,Михаил Кураев,Mikhail  Kuraev,267214266,Q3856329
73,Иван Соколов,Ivan  Sokolov,304984860,
76,Люба Лебедева,Li͡uba  Lebedeva,'11154921222863591424',
77,Андрей Нитченко,Andreĭ  Nitchenko,,Q4321647
78,Тимофей Дунченко,Timofeĭ  Dunchenko,,
79,Люба Голубева,Li͡uba  Holubeva,,
80,Елена Шаталина,Elena  Shatalina,'136153409749841575936',
81,Никита Миронов,Nikita  Mironov,305925808,
83,Наталья Плотникова,Natalʹi͡a  Plotnikova,71213656,
85,Анастасия Олень,Anastasii͡a  Olenʹ,,
87,Игорь Волгин,Igorʹ  Volgin,36546322,Q4122907
92,Борис Тихомиров,Boris  Tikhomirov,165444254,Q15071617
93,Сергей Рублев,Sergeĭ  Rublev,306161851,
95,Ирина Словцова,Irina  Slovt͡sova,305046965,
96,Татьяна Кононова,Tatʹi͡ana  Kononova,118708373,
97,Кирилл Ошурков,Kirill  Oshurkov,,
98,Александр Флоренский,Aleksandr  Florenskiĭ,'21145971586632331264',Q4491128
99,Михаил Король,Mikhail  Korolʹ,36831037,
100,Владимир Слабинский,Vladimir  Slabinskiĭ,,
101,Дмитрий Панченко,Dmitriĭ  Panchenko,'241154380947230294016',
102,Надежда Кузнецова,Nadezhda  Kuznet͡sova,12040696,
103,Алексей Ахматов,Alekseĭ  Akhmatov,'520149196761074761728',Q15064200
104,Наталия Розен,Natalii͡a  Rozen,,
105,Нина Савушкина,Nina  Savushkina,48846349,
106,Марина Балуева,Marina  Balueva,,
107,Светлана Забарова,Svetlana  Zabarova,'4255163513788110995456',
108,Сюзанна Кулешова,Si͡uzanna  Kuleshova,305945583,Q15686505
111,Ес Соя,Es  Soi͡a,'359144647724374097920',
