venue_id,name,type,location,
1,Амплитуда,CC-ALT,C,
2,Арт-салон на Невском 24,CC-ART,C,
3,Санкт-Петербургский союз литераторов,CS-ALL,C,
4,Библиотека им. Пушкина Петроградского района,TL-LIB-LOC,C,
5,Эрарта,CC-ART,C,
6,Ионотека,CC-ALT,C,
7,Библиотека им. Толстого,TL-LIB-LOC,C,
8,Музей Ахматовой,TL-MUS,C,
9,ОхтаLab,CC-ART,S,
10,Французский институт,IC-CEN,C,
11,Книги и кофе,CM-FNB,C,
12,Хостел На улице Ленина,CC-ALT,C,
13,БИКЦИМ,CC-ART,C,
14,Библиотека Маяковского,TL-LIB-MAJ,C,
15,Арт-центр Пушкинская 10,CC-ART,C,
16,MOD,CC-ALT,C,
17,Дом книги,CM-BOK-IND,C,
18,Российская национальная библиотека,TL-LIB-MAJ,C,
19,Буквоед,CM-BOK-CHN,C,
20,ОКЦ на Пушкинской 9,CC-ART,C,
21,Порядок слов,CM-BOK-IND,C,
22,Книжная лавка писателя,CM-BOK-IND,C,
23,Борхес,CM-FNB,C,
24,Миракль,CC-ALT,C,
25,Музей Достоевского,TL-MUS,C,
26,Библиотека Измайловская,TL-LIB-LOC,C,
27,Смольный институт свободных искусств и наук,TL-EDU,C,
28,Дом писателя,CS-ALL,C,
29,Police station,CC-ALT,C,
30,Ящик,CC-ALT,C,
31,Европейский университет,TL-EDU,C,
32,ДК Шелгунова,CS-ALL,C,
33,Библиотека Абрамова,TL-LIB-LOC,C,
34,Библиотека Тимирязева,TL-LIB-LOC,C,
35,Старая Вена,CM-FNB,H,
36,Все свободны,CM-BOK-IND,C,
37,Лофт-проект Этажи,CC-ART,C,
38,Библиотека Ломоносова,TL-LIB-LOC,C,
39,Музей Державина,TL-MUS,C,
40,VinillaSky,CC-ALT,C,
41,Еврейский общинный центр,CS-ALL,C,
42,Магазин Подписные издания,CM-BOK-IND,C,
43,Музей Зощенко,TL-MUS,C,
44,Библиотека Некрасова,TL-LIB-LOC,C,
45,Новая сцена Александринского театра,CC-PER,C,
46,Fish fabrique nouvelle,CC-ALT,C,
47,Большая хоральная синагога,CS-ALL,H,
48,Рубинштейн,CM-FNB,C,
49,Музей Набокова,TL-MUS,C,
50,Библиотека Петергофа,TL-LIB-LOC,S,
51,lampa studio,CC-ALT,C,
52,Фаренгейт 451,CM-BOK-IND,C,
53,street,CC-ALT,C,
54,Интерьерный театр,CC-PER,C,
55,Цоколь,CC-ALT,C,
56,Библиотека Лермонтова,TL-LIB-LOC,C,
57,Свой круг,CC-ALT,C,
58,Нико,CC-ALT,C,
59,Библиотека Грибоедова,TL-LIB-LOC,C,
60,Высшая школа перевода,TL-EDU,C,
61,ЦСЛК,CS-ALL,C,
62,Ресторан Премьера,CM-FNB,C,
63,Summerbar,CM-FNB,C,
64,Новая Голландия,CC-ART,H,
65,Дюны,CC-ALT,C,
66,Выставочный зал Московского района,CC-ART,S,
67,АБЦентр,CC-ART,C,
68,Институт Финляндии в Санкт-Петербурге,IC-CEN,C,
69,Музей Гумилева,TL-MUS,C,
70,Книжный салон,CM-BOK-IND,C,
71,Галерея Кино-Фот-703,CC-ART,C,
72,Отель Indigo,CC-ALT,C,
73,Бакалавриат,CC-ALT,C,
74,Малевич,CC-ART,C,
75,Мастерская Юрия Молодковца,CC-ART,C,
76,ПОЭТому,CC-ALT,S,
77,Горький,CM-FNB,C,
78,Union,CC-ALT,C,
79,Библиотека Рыбацкая,TL-LIB-LOC,S,
80,Место встречи,CC-ALT,C,
81,Музей Блока,TL-MUS,C,
82,Молодежный клуб Современник,CS-ALL,S,
83,Стирка,CC-ALT,C,
84,Русско-немецкий центр встреч,IC-CEN,C,
85,Открытое пространство,CC-ALT,C,
86,Музей петербургского авангарда,TL-MUS,C,
87,Bar Dead Poets,CM-FNB,C,
88,ЦГДБ им. Пушкина,TL-LIB-MAJ,C,
89,ЦГДБ им. Пушкина филиал № 3,TL-LIB-LOC,C,
90,Причал,CC-ALT,C,
91,Редакция журнала Звезда,CS-ALL,C,
92,Дом молодёжи Форпост,CS-ALL,C,
93,Жук,CC-ALT,C,
94,Галерея современного искусства фарфора,CC-ART,S,
95,Театр Синтез,CC-PER,C,
96,Подвал Бродячей Собаки,CC-ALT,C,
97,Дом актера,CC-PER,C,
98,Грибоедов,CM-FNB,C,
