community_id,year,total_events,events_CC-PER,events_CC-ART,events_CS-ALL,events_TL-LIB-LOC,events_IC-CEN,events_CM-BOK-CHN,events_CM-BOK-IND,events_CC-ALT,events_TL-MUS,events_TL-LIB-MAJ,events_TL-EDU,events_CM-FNB
0,1999,9,0,2,2,0,0,0,0,0,5,0,0,0
0,2000,39,1,10,3,0,0,0,0,10,10,0,5,0
0,2001,25,1,6,3,0,1,0,0,0,11,0,2,1
0,2002,31,0,4,0,2,2,0,0,6,6,1,9,1
0,2003,14,0,0,1,1,0,0,0,3,4,0,4,1
0,2004,15,1,2,3,2,0,0,1,2,0,0,4,0
0,2005,33,1,4,1,0,0,1,1,14,6,0,2,3
0,2006,48,1,5,2,0,1,2,0,13,3,2,6,13
0,2007,36,0,7,2,0,0,2,1,9,7,4,2,2
0,2008,24,0,3,9,0,0,1,0,0,3,1,2,5
0,2009,35,3,2,5,0,1,0,1,2,9,2,0,10
0,2010,63,1,4,8,0,0,2,14,11,7,4,7,5
0,2011,68,1,4,6,0,1,5,30,6,7,0,3,5
0,2012,67,1,11,3,0,1,1,23,9,3,0,5,10
0,2013,81,4,23,0,0,1,1,29,6,2,0,7,8
0,2014,71,15,12,0,2,0,1,24,4,6,0,3,4
0,2015,113,16,14,2,6,1,3,44,6,4,4,9,4
0,2016,105,18,21,3,6,1,2,37,5,5,3,3,1
0,2017,85,10,16,6,0,1,2,32,3,4,3,4,4
0,2018,146,11,37,5,11,1,2,51,9,4,2,7,6
0,2019,92,7,26,10,2,1,0,20,3,6,1,15,1
5,1999,14,1,1,2,0,0,0,0,0,6,0,3,1
5,2000,65,1,7,5,0,0,0,0,7,23,0,16,6
5,2001,53,1,7,8,0,0,0,0,6,21,0,10,0
5,2002,54,0,13,2,0,1,0,0,16,16,0,6,0
5,2003,38,3,5,7,1,0,0,1,3,9,0,8,1
5,2004,67,1,11,18,0,0,0,0,6,10,1,5,15
5,2005,69,1,11,5,0,0,0,2,11,22,2,1,14
5,2006,128,2,19,12,1,0,5,0,25,11,1,12,40
5,2007,77,0,12,4,0,0,1,2,15,15,4,4,20
5,2008,89,0,15,36,0,0,2,1,2,12,2,4,15
5,2009,157,3,16,37,1,3,3,0,10,44,15,2,23
5,2010,174,7,18,27,4,0,2,16,26,30,19,2,23
5,2011,171,4,11,26,1,2,6,42,9,31,9,6,24
5,2012,155,5,25,15,5,0,5,31,8,17,14,4,26
5,2013,177,6,35,18,2,0,0,45,9,22,14,4,22
5,2014,133,9,25,6,6,3,6,26,11,20,9,2,10
5,2015,156,6,19,14,9,5,5,25,16,35,14,3,5
5,2016,159,13,18,15,6,0,6,29,14,18,23,2,15
5,2017,178,10,32,14,7,3,3,22,18,24,24,2,19
5,2018,155,6,27,10,11,5,3,31,11,17,17,3,14
5,2019,137,5,32,17,5,0,2,24,13,16,10,4,9
